Exchange Date,Open,OpenEURUSD,OpenUSDCHF,OpenUSDJPY,OpenNZDCAD
12-Apr-05,1.8903,1.297,1.1938,107.83,0.8888
11-Apr-05,1.8848,1.2924,1.1968,108.27,0.8796
8-Apr-05,1.8704,1.2851,1.2074,108.62,0.8707
7-Apr-05,1.8805,1.2871,1.2053,108.66,0.8702
6-Apr-05,1.8802,1.2855,1.2066,108.23,0.8627
5-Apr-05,1.876,1.285,1.2089,108.28,0.864
4-Apr-05,1.8787,1.288,1.2052,107.6,0.8601
1-Apr-05,1.8899,1.2959,1.1964,107.14,0.8609
31-Mar-05,1.8788,1.2916,1.1996,107.52,0.8601
30-Mar-05,1.8742,1.2926,1.2014,107.55,0.8586
29-Mar-05,1.8662,1.2888,1.2043,107.16,0.8612
28-Mar-05,1.8704,1.296,1.1983,106.32,0.8688
25-Mar-05,1.8694,1.2941,1.2012,106.3,0.8654
24-Mar-05,1.8702,1.2988,1.1958,105.94,0.8726
23-Mar-05,1.8844,1.3076,1.1877,105.57,0.8824
22-Mar-05,1.8964,1.3156,1.1777,105.19,0.8905
21-Mar-05,1.9199,1.3311,1.1642,104.76,0.8944
18-Mar-05,1.925,1.3375,1.1568,104.54,0.8917
17-Mar-05,1.9259,1.3416,1.1521,104.13,0.8953
16-Mar-05,1.9122,1.3305,1.1653,104.59,0.8928
15-Mar-05,1.9133,1.3368,1.1592,104.8,0.8907
14-Mar-05,1.9264,1.3458,1.15,103.81,0.8921
